director,Total_Peliculas,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
A. L. Vijay,2,112.0,93,131,26.870057685088806,722.0
A. Raajdheep,1,117.0,117,117,,
A. Salaam,1,134.0,134,134,,
A.R. Murugadoss,1,140.0,140,140,,
Aadish Keluskar,1,107.0,107,107,,
Aamir Bashir,1,100.0,100,100,,
Aamir Khan,1,162.0,162,162,,
Aanand Rai,1,114.0,114,114,,
Aaron Burns,1,95.0,95,95,,
Aaron Lieber,1,100.0,100,100,,
Aaron Sorkin,2,135.5,130,141,7.7781745930520225,60.5
Aaron Woodley,1,93.0,93,93,,
Aatmaram Dharne,1,129.0,129,129,,
Abba T. Makama,2,98.0,94,102,5.656854249492381,32.0
Abbas Mustan,1,155.0,155,155,,
Abbas Tyrewala,1,147.0,147,147,,
Abdellatif Kechiche,1,180.0,180,180,,
Abdulaziz Alshlahei,1,91.0,91,91,,
Abel Ferrara,1,108.0,108,108,,
Abhay Chopra,1,105.0,105,105,,
Abhijeet Deshpande,1,157.0,157,157,,
Abhijit Panse,1,135.0,135,135,,
Abhinay Deo,3,119.66666666666667,101,135,17.243356208503418,297.3333333333333
Abhishek Chaubey,3,135.66666666666666,115,146,17.8978583448784,320.33333333333337
Abhishek Kapoor,3,127.66666666666667,120,139,10.016652800877813,100.33333333333334
Abhishek Saxena,1,96.0,96,96,,
Abhishek Sharma,3,127.33333333333333,123,135,6.658328118479392,44.333333333333314
Abhishek Varman,1,143.0,143,143,,
Abir Sengupta,1,115.0,115,115,,
Abu Bakr Shawky,1,97.0,97,97,,
Adam Alleca,1,86.0,86,86,,
Adam Del Giudice,1,88.0,88,88,,
Adam Deyoe,1,89.0,89,89,,
Adam Dubin,1,59.0,59,59,,
Adam Leon,1,83.0,83,83,,
Adam MacDonald,1,92.0,92,92,,
Adam Marino,1,90.0,90,90,,
Adam McKay,3,104.66666666666667,98,108,5.773502691896256,33.33333333333332
Adam Nimoy,1,112.0,112,112,,
Adam Randall,1,91.0,91,91,,
Adam Shankman,3,106.0,100,116,8.717797887081348,76.0
Adam Smith,1,100.0,100,100,,
Adam Wingard,1,100.0,100,100,,
Adam Wood,1,74.0,74,74,,
Adarsh Eshwarappa,1,115.0,115,115,,
Adekunle Nodash Adejuyigbe,1,67.0,67,67,,
Adisorn Tresirikasem,1,126.0,126,126,,
Aditya Kripalani,2,129.0,107,151,31.11269837220809,968.0
Aditya Sarpotdar,2,143.0,136,150,9.899494936611665,98.0
Aditya Vikram Sengupta,1,96.0,96,96,,
Adrian Murray,1,74.0,74,74,,
Adrian Teh,3,108.33333333333333,102,115,6.506407098647713,42.33333333333336
Adriana Trigiani,1,103.0,103,103,,
Advait Chandan,1,150.0,150,150,,
Adze Ugah,3,84.0,79,87,4.358898943540674,19.0
Afia Nathaniel,1,93.0,93,93,,
Afonso Poyart,1,123.0,123,123,,
Agnidev Chatterjee,1,91.0,91,91,,
Agustí Villaronga,1,116.0,116,116,,
Ahishor Solomon,1,125.0,125,125,,
Ahmad El-Badri,3,101.33333333333333,93,110,8.504900548115385,72.33333333333337
Ahmad Samir Farag,1,97.0,97,97,,
Ahmed Al-Badry,1,96.0,96,96,,
Ahmed El Gendy,1,117.0,117,117,,
Ahmed Medhat,1,93.0,93,93,,
Ahmed Nader Galal,4,111.25,106,115,4.112987559751022,16.916666666666668
Ahmed Saleh,1,124.0,124,124,,
Ahmed Siddiqui,1,104.0,104,104,,
Ahmed Zain,2,97.0,95,99,2.8284271247461903,8.0
Ahmed Zein,2,75.5,71,80,6.363961030678928,40.5
Ahn Byoung-wook,1,91.0,91,91,,
Ahsan Rahim,1,155.0,155,155,,
Aijaz Khan,1,108.0,108,108,,
Ajay Bahl,1,99.0,99,99,,
Ajay Phansekar,1,151.0,151,151,,
Ajithkumar,1,153.0,153,153,,
Akashdeep,1,111.0,111,111,,
Akhigbe Ilozobhie,1,84.0,84,84,,
Akin Omotoso,1,106.0,106,106,,
Akiva Goldsman,1,86.0,86,86,,
Akiva Schaffer,1,88.0,88,88,,
Akram Farouk,1,79.0,79,79,,
Akshay Akkineni,1,102.0,102,102,,
Alain Darborg,1,86.0,86,86,,
